Kat-Nr,ort_lit,ort_name,x_long,y_lat
,Sonstige,Les Saras,12.283333,-4.183333
,Sonstige,Lindili,11.502778,-0.148611
,Sonstige,Lindili 1,11.5025,-0.158056
,Sonstige,Lope 10,11.604167,-0.177778
,Sonstige,Lope 12,11.594444,-0.208333
,Sonstige,Lope 2,11.5875,-0.218056
,Sonstige,Lus,10.990278,6.644444
,Sonstige,Lycee Leon Mba,9.425278,0.427222
,Sonstige,Maboue 1,11.526111,-0.143611
,Sonstige,Makogoue,11.745833,-0.147778
,Sonstige,Makoure,10.1733,3.060819
,Sonstige,Malongo 1,9.866944,2.734167
,Sonstige,Mouila 1,11.166667,-1.5
,Sonstige,Ndindan,11.5,3.9
,Sonstige,Ndjole CS,10.816667,-0.183333
,Sonstige,Ndjole Pk 5,10.716667,-0.133333
,Sonstige,Ndtoua,10.218947,3.063129
,Sonstige,Ngovo,14.923611,-5.308333
,Sonstige,Njikang,10.861111,6.4625
,Sonstige,Nkang,11.316667,4.266667
,Sonstige,Nkpwala-Esse,12.068833,2.969667
,Sonstige,Nlendé Dibe 3,9.880556,2.760833
,Sonstige,Obobogo,11.504167,3.816667
,Sonstige,Oboui,15.33,6.05
,Sonstige,Okala 1,9.4125,0.490556
,Sonstige,Okanda 1,11.588889,-0.127778
,Sonstige,Okanda 2,11.575,-0.119444
,Sonstige,Okanda 4,11.506944,-0.108333
,Sonstige,Okanda 5,11.552778,-0.108333
,Sonstige,Okanda 6,11.568611,-0.1175
,Sonstige,Otoumbi 13,11.096667,-0.076389
,Sonstige,Otoumbi 2,11.091667,-0.0675
,Sonstige,Otoumbi 4,11.121667,-0.069167
,Sonstige,Otoumbi 5,11.124167,-0.0625
,Sonstige,Otoumbi 8,11.119444,-0.047222
,Sonstige,Oveng,9.516667,0.478611
,Sonstige,Riviere Denis 1,9.347778,0.322222
,Sonstige,Sa,10.805278,6.638889
,Sonstige,Sabiliere,9.383333,0.5
,Sonstige,Sakuzi,14.0075,-5.167222
,Sonstige,Shum Laka,10.077778,5.858611
,Sonstige,Toube 1,11.585,-0.0375
,Sonstige,Viafée 5,11.414437,0.330672
,Sonstige,Zoatoupsi,11.389442,3.809776
,Sonstige,Bokala,18.266373,-0.467608
,Sonstige,Bolobo,16.25,-2.16667
,Sonstige,Kebu,18.3,-2.55
,Sonstige,Bittori,14.502274,-3.904596
,Sonstige,Biala,13.25,-3.866667
,Sonstige,Moussanda,13.933333,-4.016667
,Sonstige,Côte Sauvage,11.948611,-4.916667
,Sonstige,"Point-Noire, Concession ORSTOM",11.866667,-4.766667
,Sonstige,Loango,11.790278,-4.65
,Sonstige,"Point-Noire, Embouchure de la Songolo",11.85,-4.755556
,Sonstige,Ntadi-Yomba,13.766667,-4.25
,Sonstige,Point-Noire,11.85,-4.75
,Sonstige,Mouambe,14.633333,-2.916667
,Sonstige,Gankieli,15.916667,-1.716667
