PG,PL,OBJ,SITE,FEATURE,OBJECT,STYLE,ShVesHPW,GefTyp,ShRimHPW,PL_muendD_mm,Pl_muendH_mm,Pl_minD_mm,Pl_minD_H_mm,Pl_maxD_mm,Pl_maxD_H_mm,Pl_BodenD_mm,Massstab5cm,NOTES
,33,3,NKI,2,-7-(5),BOT,,,,,,,,,,,,
,33,4,NKI,2,-7-(5),BOT,,,,,,,,,,,,
,33,5,NKI,2,-7-(5),BOT,,,,,,,,,,,,
,33,6,NKI,2,-7-(5),BLD/Bokone,,,,,,,,,,,,
,33,7,NKI,3,-7-(5),MON,,,,,,,,,,,,
,33,8,NKI,3,-7-(5),LON,,,,,,,,,,,,
,33,9,NKI,4,/II-1,BOT,,,,,,,,,,,,
,33,10,NKI,4,/III-(4),BOT,,,,,,,,,,,,
,33,11,NKI,4,/III-(3),BOT,,,,,,,,,,,,
,33,12,NKI,4,/III-(4),,,,,,,,,,,,,
,33,13,NKI,4,/II-3,BOT,,,,,,,,,,,,
,34,1,NKI,4,/III-(1),BOT,,,,,,,,,,,,
,34,2,NKI,4,/III-(2),BOT,,,,,,,,,,,,
,34,3,NKI,4,/III-(3),BOT,,,,,,,,,,,,
,34,4,NKI,4,/I-3,BDG/MBA,,,,,,,,,,,,
,34,5,NKI,4,/I-2,BDG,,,,,,,,,,,,
,34,6,NKI,4,/II-4,LON,,,,,,,,,,,,
,34,7,NKI,4,/III-(4),LON,,,,,,,,,,,,
,34,8,NKI,4,/II-4,LON,,,,,,,,,,,,
,34,9,NKI,4,/I-3,LON,,,,,,,,,,,,
,34,10,NKI,4,/I-3,LON,,,,,,,,,,,,
,35,1,NKI,4,/II-4,MON,,,,,,,,,,,,
,35,2,NKI,4,/II-5,MON,,,,,,,,,,,,
,35,3,NKI,4,/II-3,MON,,,,,,,,,,,,
,35,4,NKI,4,/II-6,MON,,,,,,,,,,,,
,35,5,NKI,4,/II-4,MON,,,,,,,,,,,,
,35,6,NKI,4,/I-3,Lokondola,,,,,,,,,,,,
,35,7,NKI,4,/III-(4),Lokondola,,,,,,,,,,,,
,35,8,NKI,4,/I-3,Lokondola,,,,,,,,,,,,
,35,9,NKI,4,/I-3,Lokondola,,,,,,,,,,,,
,35,10,NKI,4,/III-(3),Lokondola,,,,,,,,,,,,
,35,11,NKI,4,/I-2,Lokondola,,,,,,,,,,,,
,35,12,NKI,4,/III-(4),Lokondola,,,,,,,,,,,,
,35,13,NKI,5,0,IMB,,,,,,,,,,,,
,35,14,BOK,1954,,,,,,,,,,,,,,
,35,15,BOK,1954,,BOT,,,,,,,,,,,,
,35,16,BOK,1954,,,,,,,,,,,,,,
,35,17,BOK,1954,,BOT,,,,,,,,,,,,
,35,18,BOK,1954,,BOT,,,,,,,,,,,,
,35,19,BOK,1954,,LON/BDG,,,,,,,,,,,,
,35,20,BOK,1954,,IMB,,,,,,,,,,,,
,35,21,BOK,1954,,IMB,,,,,,,,,,,,
,35,22,BOK,1954,,IMB,,,,,,,,,,,,
,35,23,BOK,1954,,IMB,,,,,,,,,,,,
,35,24,BOK,1954,,IMB,,,,,,,,,,,,
,35,25,BOK,1954,,IMB,,,,,,,,,,,,
,36,1,BOK,1954,,IMB,,,,,,,,,,,,
,36,2,BOK,1954,,IMB,,,,,,,,,,,,
,36,3,BOK,1954,,IMB,,,,,,,,,,,,
,36,4,BOK,1954,,IMB,,,,,,,,,,,,
,36,5,BOK,1954,,IMB,,,,,,,,,,,,
,36,6,BOK,1954,,IMB,,,,,,,,,,,,
,36,7,BOK,1954,,IMB,,,,,,,,,,,,
,36,8,BOK,1954,,IMB,,,,,,,,,,,,
,36,9,BOK,1954,,IMB,,,,,,,,,,,,
,36,10,BOK,1954,,IMB,,,,,,,,,,,,
,36,11,BOK,1954,,IMB,,,,,,,,,,,,
,36,12,BOK,1954,,IMB,,,,,,,,,,,,
,36,13,BOK,1954,,IMB,,,,,,,,,,,,
,36,14,BOK,1954,,IMB,,,,,,,,,,,,
,37,1,BOK,1954,,IMB,,,,,,,,,,,,
,37,2,BOK,1954,,IMB,,,,,,,,,,,,
,37,3,BOK,1954,,IMB,,,,,,,,,,,,
,37,4,BOK,1954,,IMB,,,,,,,,,,,,
,37,5,BOK,1954,,IMB,,,,,,,,,,,,
,37,6,BOK,1954,,IMB,,,,,,,,,,,,
,37,7,BOK,1954,,IMB,,,,,,,,,,,,
,37,8,BOK,1954,,IMB,,,,,,,,,,,,
,37,9,BOK,1954,,IMB,,,,,,,,,,,,
,38,1,BOK,85/1,-0,Inganda,,,,,,,,,,,,
,38,2,BOK,85/1,-1,Inganda,,,,,,,,,,,,
,38,3,BOK,85/1,-1,Inganda,,,,,,,,,,,,
,38,4,BOK,85/1,-1,Inganda,,,,,,,,,,,,
,38,5,BOK,85/1,-0+1,Inganda,,,,,,,,,,,,
,38,6,BOK,85/1,-1,Inganda,,,,,,,,,,,,
,38,7,BOK,85/1,-1,Inganda,,,,,,,,,,,,
,38,8,BOK,85/1,-1,Lokondola/Inganda,,,,,,,,,,,,
,38,9,BOK,85/1,-1+2,Inganda,,,,,,,,,,,,
,39,1,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,2,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,3,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,4,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,5,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,6,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,7,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,8,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,9,BOK,85/2,,Inganda,,,,,,,,,,,,
,39,10,BOK,85/2,,Inganda,,,,,,,,,,,,
